2019-01-16 11:51:09.727 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-01-16 11:51:09.732 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@399f45b1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@38c6f217, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@478190fc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@79e2c065, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3a93b025, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@35cabb2a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7e07db1f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1189dd52, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@36bc55de, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@564fabc8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@16d04d3d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@49ec71f8]
2019-01-16 14:00:57.252 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.unittest.unittest.UnittestApplicationTests], using SpringBootContextLoader
2019-01-16 14:00:57.268 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.unittest.unittest.UnittestApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-01-16 14:00:57.268 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.unittest.unittest.UnittestApplicationTests]: UnittestApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-01-16 14:00:57.361 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.unittest.unittest.UnittestApplication for test class com.unittest.unittest.UnittestApplicationTests
2019-01-16 14:00:57.377 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-01-16 14:00:57.393 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3d74bf60, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4f209819, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@15eb5ee5, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2145b572, org.springframework.test.context.transaction.TransactionalTestExecutionListener@39529185, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@72f926e6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3daa422a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@31c88ec8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1cbbffcd, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@27ce24aa, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@481a996b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3d51f06e]
2019-01-16 14:00:57.408 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.unittest.unittest.UnittestApplicationTests], using SpringBootContextLoader
2019-01-16 14:00:57.408 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.unittest.unittest.UnittestApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-01-16 14:00:57.408 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.unittest.unittest.UnittestApplicationTests]: UnittestApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-01-16 14:00:57.424 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.unittest.unittest.UnittestApplication for test class com.unittest.unittest.UnittestApplicationTests
2019-01-16 14:00:57.444 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-01-16 14:00:57.449 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@399f45b1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@38c6f217, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@478190fc, org.springframework.test.context.support.DirtiesContextTestExecutionListener@79e2c065, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3a93b025, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@35cabb2a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7e07db1f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1189dd52, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@36bc55de, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@564fabc8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@16d04d3d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@49ec71f8]
